StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q21_1	Q21_2	Q21_3	Q21_4	Q21_5	Q21_6	Q21_7	Q21_8	Q21_9	Q21_10	Q21_11	Q21_12	Q21_13	Q21_14	Q21_15	Q21_16	Q21_17	Q21_18	Q21_19	Q21_20	Q22
2021/1/11 23:40	2021/1/11 23:42	IP Address	59.64.54.119	100	126	TRUE	2021/1/11 23:42	R_1QfNH3mlsR6kP9c					24.31170654	109.3861084	anonymous	ZH-S	中立	中立	中立	中立	中立	完全反对	比较反对	反对	反对	完全反对	比较同意	反对	比较同意	比较同意	中立	反对	反对	比较反对	反对	中立	有点不满意
2021/1/11 23:44	2021/1/11 23:46	IP Address	59.64.54.119	100	77	TRUE	2021/1/11 23:46	R_9tzKoybi4Reof2V					24.31170654	109.3861084	anonymous	ZH-S	比较同意	比较反对	比较同意	比较同意	比较同意	比较同意	比较同意	同意	比较同意	同意	中立	比较反对	同意	中立	中立	反对	中立	比较反对	比较同意	同意	有点满意
2021/1/11 23:48	2021/1/11 23:50	IP Address	59.64.54.119	100	85	TRUE	2021/1/11 23:50	R_2SqLmXWgl2eRq2M					24.31170654	109.3861084	anonymous	ZH-S	比较反对	中立	比较反对	中立	中立	反对	完全反对	反对	比较反对	反对	中立	反对	中立	中立	反对	反对	完全反对	比较反对	反对	同意	有点不满意
2021/1/11 23:52	2021/1/11 23:54	IP Address	59.64.54.119	100	85	TRUE	2021/1/11 23:54	R_Q0MoyXTWavyaYJH					24.31170654	109.3861084	anonymous	ZH-S	反对	反对	比较反对	反对	比较反对	中立	中立	比较同意	比较同意	比较同意	中立	比较同意	中立	比较反对	中立	完全反对	完全反对	反对	反对	同意	中立
2021/1/12 0:08	2021/1/12 0:11	IP Address	59.64.54.119	100	176	TRUE	2021/1/12 0:11	R_VPyMsolJzx5cXTz					24.31170654	109.3861084	anonymous	ZH-S	比较反对	比较同意	比较同意	比较同意	比较同意	比较反对	中立	比较同意	同意	中立	反对	中立	比较反对	比较反对	比较反对	比较反对	比较反对	比较反对	反对	同意	有点满意
2021/1/12 0:14	2021/1/12 0:16	IP Address	59.64.54.119	100	127	TRUE	2021/1/12 0:16	R_TtJgXVaVhf1bX7X					24.31170654	109.3861084	anonymous	ZH-S	比较反对	比较同意	比较同意	同意	比较同意	比较同意	比较同意	比较同意	同意	同意	比较同意	同意	同意	比较反对	同意	比较反对	比较反对	比较反对	中立	同意	一般满意
2021/1/12 0:19	2021/1/12 0:20	IP Address	59.64.54.119	100	100	TRUE	2021/1/12 0:20	R_AKW6WA2FWUGg6lz					24.31170654	109.3861084	anonymous	ZH-S	反对	反对	比较反对	反对	比较反对	比较同意	比较反对	比较反对	比较反对	比较反对	比较反对	比较反对	反对	反对	反对	比较反对	比较反对	中立	比较反对	同意	中立
2021/1/12 0:23	2021/1/12 0:25	IP Address	59.64.54.119	100	98	TRUE	2021/1/12 0:25	R_C8iQUDp8kAy3Rxn					24.31170654	109.3861084	anonymous	ZH-S	比较同意	比较同意	比较同意	同意	同意	比较同意	比较反对	比较反对	比较反对	比较同意	反对	比较反对	反对	反对	比较同意	比较反对	比较反对	中立	比较同意	同意	一般满意
2021/1/12 0:34	2021/1/12 0:35	IP Address	59.64.54.119	100	72	TRUE	2021/1/12 0:35	R_3EXtpfarkEkB1Ts					24.31170654	109.3861084	anonymous	ZH-S	完全反对	反对	中立	中立	反对	比较反对	反对	中立	比较反对	比较反对	比较同意	中立	比较同意	同意	反对	完全反对	完全反对	反对	反对	同意	中立
2021/1/12 0:38	2021/1/12 0:39	IP Address	59.64.54.119	100	39	TRUE	2021/1/12 0:39	R_so3OQrgDq7wrhRf					24.31170654	109.3861084	anonymous	ZH-S	完全反对	完全反对	完全反对	完全反对	完全反对	完全反对	完全反对	完全反对	完全反对	完全反对	完全同意	比较同意	完全同意	完全同意	完全反对	完全反对	完全反对	完全反对	完全反对	同意	极不满意
2021/1/12 0:41	2021/1/12 0:42	IP Address	59.64.54.119	100	53	TRUE	2021/1/12 0:42	R_1QGwpCkBg9VyVOx					24.31170654	109.3861084	anonymous	ZH-S	比较反对	中立	比较同意	比较反对	比较反对	反对	反对	反对	中立	比较反对	中立	中立	中立	中立	反对	完全反对	反对	比较反对	比较反对	同意	中立
2021/1/12 0:45	2021/1/12 0:46	IP Address	59.64.54.119	100	54	TRUE	2021/1/12 0:46	R_2WMTQoO36V6lcSS					24.31170654	109.3861084	anonymous	ZH-S	同意	比较同意	比较同意	比较同意	同意	同意	比较同意	中立	中立	同意	比较同意	比较反对	比较同意	中立	比较同意	比较反对	反对	比较反对	比较同意	同意	有点满意
2021/1/12 1:16	2021/1/12 1:18	IP Address	59.64.54.119	100	73	TRUE	2021/1/12 1:18	R_2RRhKeJnB2sja5k					24.31170654	109.3861084	anonymous	ZH-S	比较同意	比较同意	中立	比较同意	比较同意	中立	中立	中立	中立	中立	比较同意	比较反对	比较同意	中立	中立	比较反对	比较同意	中立	比较同意	同意	有点满意
2021/1/12 1:20	2021/1/12 1:21	IP Address	59.64.54.119	100	58	TRUE	2021/1/12 1:21	R_32XuvnHmXWXa0of					24.31170654	109.3861084	anonymous	ZH-S	反对	反对	反对	比较反对	比较反对	反对	反对	反对	比较反对	完全反对	比较反对	中立	反对	比较反对	比较反对	完全反对	反对	比较反对	反对	同意	中立
2021/1/12 1:24	2021/1/12 1:25	IP Address	59.64.54.119	100	55	TRUE	2021/1/12 1:25	R_1K14vBhyLRGAqJZ					24.31170654	109.3861084	anonymous	ZH-S	完全反对	反对	反对	比较反对	反对	反对	反对	反对	比较反对	比较反对	比较反对	中立	中立	比较同意	反对	反对	比较反对	比较反对	反对	同意	有点不满意
2021/1/12 1:27	2021/1/12 1:28	IP Address	59.64.54.119	100	50	TRUE	2021/1/12 1:28	R_10H0aZlMbsex0ux					24.31170654	109.3861084	anonymous	ZH-S	中立	中立	中立	中立	中立	中立	比较反对	比较反对	比较反对	中立	中立	比较同意	中立	中立	比较反对	比较反对	比较反对	中立	比较反对	同意	中立
2021/1/12 2:36	2021/1/12 2:38	IP Address	59.64.54.119	100	107	TRUE	2021/1/12 2:38	R_3Kw3VsharwZNEgT					24.31170654	109.3861084	anonymous	ZH-S	中立	比较反对	比较反对	反对	比较同意	比较反对	同意	中立	中立	比较反对	反对	同意	同意	比较反对	反对	中立	中立	比较反对	中立	同意	有点不满意
2021/1/12 2:41	2021/1/12 2:42	IP Address	59.64.54.119	100	75	TRUE	2021/1/12 2:42	R_31gxcCJlDuvIP0S					24.31170654	109.3861084	anonymous	ZH-S	完全反对	反对	反对	反对	反对	反对	比较反对	比较反对	反对	中立	中立	比较同意	完全同意	完全同意	完全反对	反对	反对	反对	完全反对	同意	一般不满意
2021/1/12 2:44	2021/1/12 2:46	IP Address	59.64.54.119	100	70	TRUE	2021/1/12 2:46	R_2yp7CmGrZOa8B6G					24.31170654	109.3861084	anonymous	ZH-S	完全反对	反对	反对	完全反对	反对	中立	反对	完全反对	比较反对	比较同意	完全同意	完全同意	完全同意	完全同意	反对	完全反对	完全反对	中立	中立	同意	一般不满意
2021/1/12 2:48	2021/1/12 2:49	IP Address	59.64.54.119	100	62	TRUE	2021/1/12 2:49	R_1GZVtidNoTdw7s0					24.31170654	109.3861084	anonymous	ZH-S	同意	同意	完全同意	同意	同意	同意	完全同意	完全同意	完全同意	完全同意	反对	中立	反对	完全反对	中立	中立	比较同意	同意	完全同意	同意	一般满意
2021/1/12 3:01	2021/1/12 3:02	IP Address	59.64.54.119	100	79	TRUE	2021/1/12 3:02	R_2Y9QfnlimDro65j					24.31170654	109.3861084	anonymous	ZH-S	比较同意	同意	比较同意	同意	同意	比较同意	同意	同意	同意	比较同意	中立	反对	比较同意	比较反对	比较同意	中立	比较反对	同意	同意	同意	一般满意
2021/1/12 3:05	2021/1/12 3:06	IP Address	59.64.54.119	100	79	TRUE	2021/1/12 3:06	R_3NPsMELcPQIXSUm					24.31170654	109.3861084	anonymous	ZH-S	比较反对	反对	比较反对	比较反对	比较反对	比较反对	比较反对	比较同意	比较同意	比较反对	反对	中立	反对	比较反对	比较同意	反对	反对	比较同意	中立	同意	中立
2021/1/12 3:09	2021/1/12 3:10	IP Address	59.64.54.119	100	74	TRUE	2021/1/12 3:10	R_x4yLFmv0HAWN54d					24.31170654	109.3861084	anonymous	ZH-S	比较反对	比较反对	比较反对	比较反对	反对	反对	反对	比较反对	比较同意	比较反对	中立	比较同意	中立	中立	反对	反对	比较反对	反对	反对	同意	有点不满意
2021/1/12 3:13	2021/1/12 3:14	IP Address	59.64.54.119	100	58	TRUE	2021/1/12 3:14	R_3eli2AypjEOrzgT					24.31170654	109.3861084	anonymous	ZH-S	完全反对	完全反对	反对	完全反对	完全反对	完全反对	完全反对	完全反对	完全反对	完全反对	中立	中立	反对	同意	完全反对	完全反对	反对	完全反对	完全反对	同意	一般不满意
2021/1/12 3:27	2021/1/12 3:28	IP Address	59.64.54.119	100	64	TRUE	2021/1/12 3:28	R_3psPa0MCeGTuZZR					24.31170654	109.3861084	anonymous	ZH-S	中立	同意	中立	比较同意	比较同意	比较同意	比较同意	中立	比较同意	比较同意	中立	比较反对	比较同意	反对	反对	比较反对	比较反对	比较同意	比较反对	同意	有点满意
2021/1/12 3:30	2021/1/12 3:32	IP Address	59.64.54.119	100	64	TRUE	2021/1/12 3:32	R_1GUedoCgMMeOjlC					24.31170654	109.3861084	anonymous	ZH-S	比较反对	比较反对	比较反对	反对	反对	比较反对	比较反对	反对	反对	反对	比较反对	比较同意	中立	反对	比较反对	比较反对	反对	比较反对	反对	同意	有点不满意
2021/1/12 3:34	2021/1/12 3:35	IP Address	59.64.54.119	100	40	TRUE	2021/1/12 3:35	R_3eawiwWYW2deoll					24.31170654	109.3861084	anonymous	ZH-S	同意	完全同意	同意	同意	完全同意	完全同意	完全同意	完全同意	完全同意	完全同意	比较同意	反对	反对	完全反对	同意	完全同意	同意	同意	完全同意	同意	一般满意
2021/1/12 3:37	2021/1/12 3:38	IP Address	59.64.54.119	100	51	TRUE	2021/1/12 3:38	R_D1MKSjczeKs1mlb					24.31170654	109.3861084	anonymous	ZH-S	比较同意	比较同意	比较同意	比较同意	中立	比较同意	比较反对	比较反对	同意	比较反对	比较同意	反对	比较同意	同意	中立	比较同意	比较同意	比较同意	中立	同意	中立
2021/1/12 4:06	2021/1/12 4:08	IP Address	59.64.54.119	100	111	TRUE	2021/1/12 4:08	R_2yghnGDIrsZ14qx					24.31170654	109.3861084	anonymous	ZH-S	比较同意	同意	同意	比较同意	同意	比较同意	中立	比较同意	比较同意	同意	比较反对	比较反对	比较反对	比较反对	比较反对	反对	中立	中立	同意	同意	有点满意
2021/1/12 4:10	2021/1/12 4:12	IP Address	59.64.54.119	100	90	TRUE	2021/1/12 4:12	R_SZDO6qqYgP0aTlL					24.31170654	109.3861084	anonymous	ZH-S	中立	比较反对	中立	反对	中立	中立	比较反对	比较反对	中立	比较反对	比较同意	比较同意	比较反对	同意	中立	反对	比较反对	比较反对	中立	同意	有点不满意
2021/1/12 4:14	2021/1/12 4:15	IP Address	59.64.54.119	100	66	TRUE	2021/1/12 4:15	R_1HpjLMGkrSkARTu					24.31170654	109.3861084	anonymous	ZH-S	完全同意	完全同意	完全同意	完全同意	完全同意	完全同意	完全同意	完全同意	完全同意	同意	中立	比较反对	反对	比较反对	同意	比较反对	中立	中立	完全同意	同意	极为满意
2021/1/12 4:18	2021/1/12 4:19	IP Address	59.64.54.119	100	89	TRUE	2021/1/12 4:19	R_2QT0BxE22HG3crI					24.31170654	109.3861084	anonymous	ZH-S	中立	比较同意	中立	比较同意	中立	中立	比较反对	比较反对	比较反对	中立	同意	比较反对	中立	中立	中立	比较反对	反对	中立	比较同意	同意	中立
2021/1/12 4:38	2021/1/12 4:40	IP Address	219.142.99.14	100	83	TRUE	2021/1/12 4:40	R_2QX8R1qNbtt3i8m					39.92880249	116.3888855	anonymous	ZH-S	中立	同意	比较同意	中立	同意	比较同意	同意	同意	完全同意	同意	比较同意	中立	同意	比较同意	比较同意	比较反对	中立	比较反对	中立	同意	一般满意
2021/1/12 4:43	2021/1/12 4:44	IP Address	59.64.54.119	100	71	TRUE	2021/1/12 4:44	R_xruM28l0dikCRax					24.31170654	109.3861084	anonymous	ZH-S	中立	中立	中立	比较反对	中立	中立	反对	比较反对	中立	比较反对	中立	同意	比较同意	完全同意	比较反对	比较反对	比较同意	比较反对	比较反对	同意	有点不满意
2021/1/12 4:46	2021/1/12 4:47	IP Address	59.64.54.119	100	52	TRUE	2021/1/12 4:47	R_1QtJ4sVx1WGidWx					24.31170654	109.3861084	anonymous	ZH-S	中立	比较反对	中立	中立	中立	比较同意	反对	比较反对	比较反对	反对	反对	反对	中立	比较同意	反对	反对	比较反对	比较反对	比较同意	同意	中立
2021/1/12 4:50	2021/1/12 4:51	IP Address	59.64.54.119	100	48	TRUE	2021/1/12 4:51	R_1g1Mnq82DTme4nZ					24.31170654	109.3861084	anonymous	ZH-S	中立	同意	中立	比较同意	同意	同意	比较同意	同意	比较同意	比较同意	比较反对	比较反对	比较反对	反对	反对	比较反对	比较同意	比较同意	比较同意	同意	一般满意
2021/1/12 5:03	2021/1/12 5:04	IP Address	59.64.54.119	100	80	TRUE	2021/1/12 5:04	R_Tk3QmrnThtvAsJH					24.31170654	109.3861084	anonymous	ZH-S	比较反对	比较反对	比较反对	中立	比较同意	比较反对	反对	反对	比较反对	反对	反对	中立	比较反对	同意	比较同意	比较反对	比较同意	反对	比较同意	同意	中立
2021/1/12 5:07	2021/1/12 5:08	IP Address	59.64.54.119	100	63	TRUE	2021/1/12 5:08	R_1NfweWLEGwfUNAn					24.31170654	109.3861084	anonymous	ZH-S	比较反对	比较同意	中立	比较反对	比较同意	比较反对	反对	完全反对	反对	比较反对	比较反对	反对	比较反对	比较同意	中立	完全反对	比较反对	完全反对	中立	同意	一般不满意
2021/1/12 5:11	2021/1/12 5:11	IP Address	59.64.54.119	100	44	TRUE	2021/1/12 5:11	R_2TMIAr6W2c8Vg5l					24.31170654	109.3861084	anonymous	ZH-S	比较同意	比较同意	比较同意	同意	同意	同意	比较同意	同意	同意	比较同意	中立	比较反对	比较同意	中立	比较同意	比较同意	比较同意	比较反对	比较同意	同意	一般满意
2021/1/12 5:14	2021/1/12 5:14	IP Address	219.142.99.14	100	38	TRUE	2021/1/12 5:14	R_1BSehumX7DBUWL1					39.92880249	116.3888855	anonymous	ZH-S	同意	完全同意	同意	完全同意	完全同意	完全同意	完全同意	完全同意	完全同意	完全同意	比较同意	比较反对	中立	比较反对	同意	同意	比较同意	比较同意	完全同意	同意	极为满意
2021/1/12 5:40	2021/1/12 5:42	IP Address	59.64.54.119	100	82	TRUE	2021/1/12 5:42	R_2Uf39zZP0FY67Rn					24.31170654	109.3861084	anonymous	ZH-S	反对	反对	比较反对	比较反对	比较反对	比较同意	比较反对	完全反对	比较反对	反对	同意	中立	比较同意	完全同意	比较反对	比较反对	中立	比较反对	比较反对	同意	有点不满意
2021/1/12 5:44	2021/1/12 5:45	IP Address	59.64.54.119	100	64	TRUE	2021/1/12 5:45	R_1i8VzPWUojwBhvL					24.31170654	109.3861084	anonymous	ZH-S	反对	反对	反对	反对	反对	比较反对	中立	完全反对	反对	反对	完全同意	完全同意	中立	同意	反对	反对	完全反对	反对	反对	同意	一般不满意
2021/1/12 5:48	2021/1/12 5:49	IP Address	59.64.54.119	100	61	TRUE	2021/1/12 5:49	R_11XE1oQDC0EsJHH					24.31170654	109.3861084	anonymous	ZH-S	中立	比较反对	中立	中立	中立	中立	比较反对	比较反对	中立	比较反对	比较反对	中立	中立	中立	中立	比较反对	比较同意	比较同意	中立	同意	中立
2021/1/12 5:52	2021/1/12 5:53	IP Address	219.142.99.14	100	60	TRUE	2021/1/12 5:53	R_2rScnBF6qjMxMvH					39.92880249	116.3888855	anonymous	ZH-S	中立	中立	中立	比较同意	比较同意	同意	同意	比较同意	比较同意	比较同意	比较反对	中立	比较同意	中立	同意	比较反对	中立	中立	中立	同意	有点满意
2021/1/12 6:04	2021/1/12 6:05	IP Address	59.64.54.119	100	74	TRUE	2021/1/12 6:05	R_3J8HbsLLZq1YM6l					24.31170654	109.3861084	anonymous	ZH-S	反对	反对	反对	反对	反对	完全反对	比较反对	反对	中立	反对	比较同意	比较同意	比较同意	同意	反对	完全反对	反对	比较反对	反对	同意	有点不满意
2021/1/12 6:08	2021/1/12 6:09	IP Address	59.64.54.119	100	77	TRUE	2021/1/12 6:09	R_3lpdt6ltOsro4F3					24.31170654	109.3861084	anonymous	ZH-S	比较反对	比较反对	完全反对	比较反对	反对	比较反对	反对	反对	中立	比较反对	比较同意	同意	比较反对	比较同意	中立	完全反对	完全反对	中立	反对	同意	一般不满意
2021/1/12 6:11	2021/1/12 6:12	IP Address	59.64.54.119	100	60	TRUE	2021/1/12 6:12	R_0GPHAVkDhNxzYsx					24.31170654	109.3861084	anonymous	ZH-S	中立	反对	中立	比较反对	中立	比较同意	同意	比较同意	同意	同意	中立	比较同意	同意	反对	比较反对	反对	比较反对	中立	比较反对	同意	中立
2021/1/12 6:15	2021/1/12 6:16	IP Address	59.64.54.119	100	46	TRUE	2021/1/12 6:16	R_3mdwrSVovoVaTHe					24.31170654	109.3861084	anonymous	ZH-S	同意	比较同意	中立	比较同意	比较同意	比较同意	同意	同意	同意	同意	同意	比较同意	同意	中立	比较反对	比较同意	中立	中立	比较同意	同意	有点满意
