StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1_1	Q1_2	Q1_3	Q1_4	Q1_5	Q1_6	Q1_7	Q1_8	Q1_9	Q1_10	Q4_1	Q4_2	Q4_3	Q4_4	Q4_5	Q4_6	Q4_7	Q4_8	Q4_9	Q4_10	Q4_11	Q4_12	Q4_13	Q4_14	Q4_15	Q4_16	Q4_17	Q4_18	Q4_19	Q4_20	Q4_21	Q4_22	Q4_23	Q4_24	Q4_25	Q4_26	Q4_27	Q4_28	Q4_29	Q4_30	Q4_31	Q4_32	Q4_33	Q4_34	Q4_35	Q4_36	Q4_37	Q4_38	Q4_39	Q4_40	Q4_41	Q4_42	Q2
2021-01-12 03:40:42	2021-01-12 03:46:56	IP Address	117.136.0.24	100	373	True	2021-01-12 03:46:56	R_23iNHAex7ZaWECJ					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	比较反对	比较反对	比较同意	完全同意	中立	比较同意	完全不同意	比较同意	同意	反对	反对	同意	同意	有点反对	有点同意	同意	反对	同意	有点同意	同意	同意	非常同意	有点同意	同意	非常同意	同意	同意	有点反对	有点反对	有点同意	有点反对	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	有点同意	有点反对	有点同意	同意	同意	同意	非常同意	反对	有点同意	201711160127
2021-01-12 04:21:24	2021-01-12 04:27:28	IP Address	223.104.38.150	100	364	True	2021-01-12 04:27:29	R_Y9UmlShfQ1PaZtT					39.928802490234375	116.388885498046875	qr	ZH-S	比较反对	中立	比较反对	中立	比较同意	比较同意	比较同意	比较同意	中立	比较同意	反对	有点反对	非常反对	有点反对	有点同意	有点反对	有点反对	有点反对	有点反对	同意	同意	同意	同意	非常同意	有点同意	同意	同意	同意	同意	有点同意	有点同意	有点反对	有点同意	同意	同意	同意	有点同意	有点同意	有点同意	有点同意	同意	非常同意	有点同意	有点反对	有点反对	有点同意	有点反对	有点反对	有点反对	有点反对	反对	有点同意	202011061037
2021-01-12 04:53:47	2021-01-12 04:56:22	IP Address	219.142.99.24	100	155	True	2021-01-12 04:56:23	R_2fpOyM4fW88mc2y					39.928802490234375	116.388885498046875	qr	ZH-S	中立	比较同意	比较反对	中立	比较同意	比较同意	比较同意	中立	中立	中立	有点反对	反对	有点同意	有点同意	同意	有点同意	有点同意	有点反对	有点反对	有点同意	同意	同意	同意	有点同意	同意	有点同意	同意	同意	同意	有点同意	有点同意	有点同意	反对	有点同意	有点同意	有点同意	有点同意	有点同意	同意	有点同意	有点同意	同意	有点反对	同意	同意	反对	反对	有点反对	有点反对	同意	反对	有点同意	201811031913
2021-01-12 05:15:57	2021-01-12 05:18:45	IP Address	106.121.128.146	100	167	True	2021-01-12 05:18:45	R_3iEXE0M2m860wxv					39.928802490234375	116.388885498046875	qr	ZH-S	比较反对	比较反对	比较反对	比较同意	比较同意	中立	比较同意	比较反对	比较同意	比较同意	有点反对	反对	有点同意	有点同意	反对	同意	有点反对	反对	同意	反对	有点同意	有点反对	有点反对	反对	非常反对	反对	同意	同意	同意	同意	同意	反对	非常同意	非常反对	反对	有点反对	有点反对	反对	反对	反对	非常反对	有点同意	非常反对	同意	同意	反对	反对	非常反对	非常反对	反对	反对	有点同意	201711030133
2021-01-12 05:54:06	2021-01-12 05:58:06	IP Address	117.136.0.157	100	240	True	2021-01-12 05:58:06	R_11XVot63COmsd8O					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	比较同意	比较同意	比较同意	比较同意	中立	中立	比较反对	完全不同意	有点同意	有点反对	有点同意	有点同意	同意	有点同意	有点同意	有点同意	有点同意	有点同意	有点同意	有点同意	非常同意	同意	有点同意	有点同意	有点同意	有点同意	有点同意	有点反对	有点反对	有点同意	反对	有点反对	同意	有点同意	同意	非常反对	有点反对	反对	有点同意	有点同意	有点同意	同意	有点同意	反对	反对	有点同意	有点反对	有点反对	反对	有点同意	201921150046
2021-01-12 06:17:25	2021-01-12 06:23:33	IP Address	106.121.128.130	100	367	True	2021-01-12 06:23:34	R_3JgGrwtg2m3EiIM					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	比较同意	完全同意	比较同意	比较同意	中立	中立	中立	中立	有点同意	有点同意	有点同意	有点反对	同意	有点同意	有点同意	有点同意	有点同意	有点同意	有点同意	有点反对	反对	反对	有点同意	有点同意	有点同意	有点同意	有点同意	反对	有点反对	有点同意	反对	有点同意	有点同意	有点同意	有点同意	有点同意	有点同意	有点同意	同意	同意	有点同意	有点反对	有点反对	有点同意	有点同意	有点同意	有点同意	有点同意	反对	有点同意	201911061189
2021-01-12 07:02:22	2021-01-12 07:08:14	IP Address	223.104.39.153	100	351	True	2021-01-12 07:08:14	R_1pXtdl9UG1xkfvF					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	比较反对	完全同意	比较同意	中立	比较同意	比较反对	比较反对	比较反对	同意	有点同意	同意	有点反对	同意	有点同意	有点同意	同意	有点同意	同意	非常同意	同意	有点反对	非常同意	有点同意	同意	同意	同意	同意	有点同意	反对	同意	反对	有点同意	有点同意	同意	同意	有点同意	反对	反对	有点同意	同意	同意	有点反对	有点反对	有点反对	有点反对	有点同意	有点反对	同意	反对	有点同意	201711061134
2021-01-12 18:01:45	2021-01-12 18:06:14	IP Address	210.31.76.232	100	269	True	2021-01-12 18:06:15	R_2E0IvyzToqjsiU5					39.4810943603515625	115.963287353515625	qr	ZH-S	比较同意	完全同意	中立	比较同意	比较同意	比较同意	比较同意	中立	比较反对	比较反对	有点同意	有点同意	有点反对	同意	非常同意	有点反对	有点反对	有点同意	反对	同意	同意	同意	非常同意	非常同意	同意	同意	有点反对	有点同意	有点反对	有点反对	反对	同意	非常反对	同意	非常同意	同意	同意	有点同意	同意	有点同意	非常同意	非常同意	反对	非常同意	非常同意	同意	同意	非常同意	同意	同意	反对	有点同意	201811200150
2021-01-12 18:32:45	2021-01-12 18:37:24	IP Address	124.64.17.189	100	278	True	2021-01-12 18:37:24	R_AnSY1su82W4pypz					39.928802490234375	116.388885498046875	qr	ZH-S	完全同意	完全同意	中立	比较反对	完全同意	比较同意	中立	比较反对	比较反对	比较同意	有点同意	有点反对	有点同意	反对	同意	有点同意	同意	同意	有点反对	有点同意	同意	非常同意	非常同意	反对	同意	同意	有点同意	同意	同意	有点同意	有点反对	有点同意	反对	有点同意	有点同意	有点同意	同意	反对	反对	反对	非常同意	有点同意	非常反对	非常同意	非常同意	非常反对	非常反对	非常反对	非常反对	有点反对	反对	有点同意	202011100111
2021-01-12 18:56:06	2021-01-12 18:59:16	IP Address	223.104.38.41	100	190	True	2021-01-12 18:59:17	R_3fAHkeL2yxCXeE8					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	完全同意	比较同意	中立	完全同意	中立	中立	中立	完全不同意	比较反对	有点反对	有点反对	同意	有点反对	有点同意	有点反对	有点反对	有点同意	同意	有点同意	有点同意	有点同意	同意	有点同意	有点反对	有点同意	有点同意	同意	同意	同意	同意	反对	有点同意	有点同意	同意	反对	有点同意	非常反对	反对	非常反对	有点同意	同意	反对	同意	有点同意	有点反对	有点同意	有点反对	有点反对	有点反对	反对	有点同意	201911100165
2021-01-12 19:22:37	2021-01-12 19:26:02	IP Address	117.136.0.123	100	205	True	2021-01-12 19:26:02	R_3oZy2H5pRwZSVZ4					39.928802490234375	116.388885498046875	qr	ZH-S	中立	中立	比较反对	比较反对	比较同意	比较同意	中立	中立	比较反对	中立	有点同意	有点反对	有点反对	同意	有点同意	有点同意	同意	反对	有点反对	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	反对	反对	同意	有点反对	同意	有点同意	同意	同意	有点同意	有点同意	有点同意	同意	同意	有点同意	有点反对	有点反对	有点反对	有点同意	同意	同意	同意	反对	有点同意	202011998115
2021-01-12 20:04:26	2021-01-12 20:08:09	IP Address	117.136.0.206	100	222	True	2021-01-12 20:08:09	R_XnS2aNqiQFt4k6t					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	完全同意	比较同意	比较同意	完全同意	比较同意	比较反对	比较反对	比较反对	比较同意	同意	同意	同意	反对	有点同意	同意	同意	同意	有点反对	同意	同意	有点同意	同意	有点同意	有点同意	有点同意	有点同意	有点同意	有点同意	有点反对	同意	有点反对	反对	有点同意	有点同意	反对	有点反对	反对	反对	有点反对	同意	有点反对	反对	同意	同意	有点反对	有点反对	同意	同意	有点反对	反对	有点同意	201911120161
2021-01-12 20:32:21	2021-01-12 20:37:41	IP Address	61.148.245.12	100	319	True	2021-01-12 20:37:42	R_UmBH9bGwUHYzY53					39.928802490234375	116.388885498046875	qr	ZH-S	比较反对	比较反对	比较同意	比较同意	中立	比较同意	中立	中立	中立	中立	同意	有点同意	有点同意	同意	有点反对	有点同意	有点同意	有点同意	有点反对	同意	有点同意	同意	有点反对	有点同意	有点同意	同意	同意	同意	同意	非常反对	反对	非常同意	非常反对	同意	同意	同意	同意	同意	有点同意	有点同意	非常同意	同意	有点同意	有点同意	有点同意	有点反对	有点同意	有点同意	有点反对	同意	反对	有点同意	201911120160
2021-01-12 20:58:54	2021-01-12 21:03:29	IP Address	219.142.99.27	100	274	True	2021-01-12 21:03:29	R_2773x9lzYr3AeoA					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	比较同意	中立	比较同意	完全同意	比较同意	比较反对	完全不同意	比较反对	有点同意	反对	反对	反对	有点同意	反对	同意	有点反对	反对	同意	有点反对	有点同意	同意	同意	非常同意	同意	有点同意	同意	有点同意	非常反对	非常反对	非常同意	反对	同意	有点同意	同意	同意	有点同意	同意	同意	同意	同意	同意	反对	同意	同意	同意	非常同意	非常同意	同意	反对	有点同意	202021050022
2021-01-12 22:26:43	2021-01-12 22:31:08	IP Address	223.104.44.29	100	265	True	2021-01-12 22:31:09	R_3Kq311AFdDhqZ7i					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	中立	比较反对	比较反对	比较同意	比较同意	比较同意	比较反对	比较反对	比较同意	有点反对	有点同意	有点同意	同意	有点同意	反对	有点反对	有点反对	反对	非常同意	同意	同意	有点同意	有点反对	同意	同意	同意	同意	同意	反对	反对	同意	反对	非常同意	同意	同意	同意	有点同意	有点同意	有点同意	非常同意	同意	有点反对	有点反对	有点同意	有点同意	反对	有点反对	有点反对	同意	反对	有点同意	202011998064
2021-01-12 22:49:25	2021-01-12 22:54:34	IP Address	223.104.42.118	100	308	True	2021-01-12 22:54:34	R_2cc4uyOQDbfLnpX					39.928802490234375	116.388885498046875	qr	ZH-S	完全同意	比较同意	比较同意	完全同意	完全同意	比较同意	比较反对	比较反对	比较反对	中立	有点同意	有点同意	同意	有点反对	有点同意	有点同意	同意	同意	同意	同意	有点同意	有点同意	有点反对	有点反对	有点反对	有点同意	有点同意	有点同意	有点同意	同意	有点反对	有点同意	有点同意	有点同意	有点反对	有点同意	有点同意	有点同意	有点同意	有点同意	有点同意	有点同意	同意	有点反对	有点反对	有点同意	有点反对	非常反对	非常反对	有点同意	反对	有点同意	201711061164
2021-01-12 23:17:14	2021-01-12 23:22:46	IP Address	61.148.244.10	100	332	True	2021-01-12 23:22:47	R_1GEyWEE41ClnF7M					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	比较同意	完全同意	比较同意	比较同意	比较反对	比较反对	比较反对	中立	同意	反对	反对	有点反对	同意	有点反对	有点同意	反对	反对	有点同意	同意	有点同意	有点同意	非常同意	非常反对	同意	同意	同意	同意	同意	同意	同意	反对	反对	非常同意	同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常反对	反对	反对	同意	非常同意	非常同意	反对	有点同意	202011160005
2021-01-12 23:54:49	2021-01-12 23:58:33	IP Address	219.142.99.27	100	223	True	2021-01-12 23:58:33	R_PRHgEdve0KaoA7f					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	比较反对	完全同意	比较同意	比较同意	比较同意	比较反对	比较反对	中立	非常同意	同意	反对	反对	同意	有点反对	同意	有点同意	反对	非常同意	同意	同意	同意	非常同意	同意	同意	同意	同意	有点同意	反对	反对	非常同意	反对	同意	同意	同意	非常同意	反对	有点反对	有点同意	同意	同意	非常同意	非常反对	有点反对	非常同意	同意	同意	同意	同意	反对	有点同意	202031061046
2021-01-13 00:26:12	2021-01-13 00:29:24	IP Address	117.136.38.2	100	191	True	2021-01-13 00:29:24	R_3gSJSyPPYjML4QR					39.928802490234375	116.388885498046875	qr	ZH-S	中立	比较同意	比较同意	中立	比较同意	完全同意	完全同意	完全同意	完全不同意	比较反对	同意	有点同意	有点反对	有点反对	有点同意	有点同意	有点反对	有点同意	反对	有点同意	有点同意	有点同意	有点同意	有点同意	有点同意	同意	同意	有点同意	有点同意	有点反对	反对	同意	有点反对	同意	有点同意	有点同意	有点反对	反对	反对	反对	有点同意	有点反对	反对	同意	同意	有点反对	反对	有点反对	有点反对	同意	反对	有点同意	201811200118
2021-01-13 02:16:23	2021-01-13 02:20:29	IP Address	223.104.42.223	100	245	True	2021-01-13 02:20:29	R_3I43yZ0a68l3JyM					39.928802490234375	116.388885498046875	qr	ZH-S	中立	比较同意	比较同意	中立	比较同意	比较同意	比较同意	中立	中立	中立	有点同意	反对	有点同意	同意	有点同意	有点反对	有点同意	有点反对	有点反对	同意	有点同意	有点同意	有点同意	同意	有点同意	有点同意	同意	同意	有点同意	反对	反对	同意	反对	同意	有点同意	同意	同意	有点同意	有点同意	有点同意	有点同意	同意	有点同意	有点同意	有点同意	有点同意	有点反对	有点反对	有点反对	同意	反对	有点同意	201811200120
2021-01-13 02:53:04	2021-01-13 02:58:13	IP Address	117.136.0.201	100	309	True	2021-01-13 02:58:13	R_1P1TuDaYrsF7Iz6					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	完全同意	中立	完全同意	完全同意	完全同意	中立	中立	比较反对	比较反对	有点同意	反对	非常反对	同意	有点反对	反对	有点反对	反对	有点反对	同意	非常同意	同意	非常同意	同意	非常同意	非常同意	同意	非常同意	同意	反对	反对	同意	反对	同意	同意	同意	同意	有点同意	有点同意	有点反对	同意	同意	同意	非常反对	反对	同意	同意	同意	同意	非常同意	反对	有点同意	201711140916
2021-01-13 03:35:05	2021-01-13 03:38:38	IP Address	124.64.16.187	100	212	True	2021-01-13 03:38:38	R_Oxt4F4chNiqKiPv					39.928802490234375	116.388885498046875	qr	ZH-S	中立	比较同意	比较同意	中立	比较同意	比较同意	比较同意	中立	比较同意	中立	有点反对	反对	有点反对	反对	有点同意	有点反对	反对	有点反对	有点反对	有点同意	有点同意	同意	有点同意	同意	同意	同意	同意	同意	有点同意	有点反对	反对	同意	反对	同意	有点同意	有点反对	有点同意	有点反对	有点同意	反对	有点同意	同意	有点反对	有点同意	有点同意	有点同意	有点同意	有点反对	有点反对	同意	反对	有点同意	201811030511
2021-01-13 03:58:43	2021-01-13 04:02:52	IP Address	117.136.38.141	100	249	True	2021-01-13 04:02:52	R_ymat09deYAceytj					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	比较同意	比较同意	比较同意	比较同意	中立	中立	中立	中立	有点反对	反对	有点反对	有点同意	有点同意	有点反对	有点反对	有点反对	有点反对	有点同意	有点同意	有点同意	同意	有点同意	有点同意	有点反对	有点同意	有点同意	有点同意	有点反对	有点反对	有点同意	有点同意	有点同意	有点反对	有点反对	有点同意	有点同意	有点同意	有点反对	同意	有点同意	有点反对	有点同意	有点同意	有点反对	有点反对	有点反对	有点反对	有点同意	反对	有点同意	202021150004
2021-01-13 04:29:31	2021-01-13 04:32:08	IP Address	117.136.0.19	100	156	True	2021-01-13 04:32:08	R_2RRn2Tb3byDGNi3					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较反对	比较同意	完全同意	比较同意	比较同意	比较反对	比较反对	比较反对	比较同意	同意	反对	同意	有点反对	非常同意	有点同意	同意	反对	有点反对	同意	非常同意	有点同意	非常同意	非常同意	同意	同意	同意	非常同意	非常同意	反对	反对	同意	有点反对	同意	同意	同意	同意	同意	同意	同意	同意	同意	非常同意	有点反对	有点同意	非常同意	同意	同意	有点同意	非常同意	反对	有点同意	202021130045
2021-01-13 05:01:13	2021-01-13 05:07:47	IP Address	210.31.76.244	100	394	True	2021-01-13 05:07:48	R_1jBym6kbHpA36ec					39.4810943603515625	115.963287353515625	qr	ZH-S	完全同意	比较同意	完全不同意	比较同意	完全同意	比较同意	比较同意	比较反对	完全不同意	比较同意	非常反对	有点反对	反对	有点反对	有点同意	非常反对	反对	有点反对	反对	非常同意	有点反对	反对	非常同意	非常同意	非常同意	非常同意	非常同意	同意	同意	非常反对	非常反对	非常同意	有点反对	同意	同意	同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	同意	有点反对	有点同意	非常同意	同意	有点同意	有点反对	非常同意	反对	有点同意	202011998131
2021-01-13 05:33:21	2021-01-13 05:36:59	IP Address	61.148.243.249	100	218	True	2021-01-13 05:37:00	R_2Etxru1yRXMRiW2					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	中立	比较同意	完全同意	比较同意	比较同意	比较反对	比较反对	中立	中立	有点同意	同意	同意	有点反对	有点同意	同意	同意	非常同意	反对	同意	同意	有点同意	有点同意	同意	同意	有点同意	同意	同意	同意	反对	反对	非常同意	反对	同意	有点同意	有点同意	同意	有点同意	同意	同意	同意	同意	有点同意	非常同意	同意	同意	有点反对	同意	有点同意	同意	反对	有点同意	202011061107
2021-01-13 06:01:31	2021-01-13 06:07:03	IP Address	210.31.76.229	100	332	True	2021-01-13 06:07:03	R_1rBtsq9k0LJ4xAe					39.4810943603515625	115.963287353515625	qr	ZH-S	比较同意	比较同意	完全同意	完全同意	完全同意	比较同意	中立	比较反对	完全不同意	比较反对	有点同意	同意	反对	反对	非常同意	有点反对	有点反对	同意	反对	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	同意	有点同意	同意	反对	非常反对	非常同意	非常反对	非常同意	非常反对	反对	反对	反对	非常反对	反对	有点反对	非常反对	反对	有点反对	同意	非常反对	非常反对	非常反对	非常反对	有点同意	反对	有点同意	201921150016
2021-01-13 06:59:50	2021-01-13 07:05:53	IP Address	106.120.232.218	100	363	True	2021-01-13 07:05:54	R_2whG1zm3bk6nvHD					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	完全同意	中立	比较同意	完全同意	比较反对	比较反对	比较反对	中立	同意	同意	同意	反对	非常同意	同意	非常同意	同意	有点同意	有点反对	有点同意	有点同意	有点反对	有点反对	有点反对	有点反对	同意	同意	有点同意	反对	反对	非常同意	有点反对	有点同意	同意	有点同意	同意	有点同意	反对	有点同意	非常同意	同意	有点反对	同意	同意	反对	有点反对	反对	反对	有点同意	反对	有点同意	201711200105
2021-01-13 07:19:34	2021-01-13 07:30:13	IP Address	223.104.38.166	100	639	True	2021-01-13 07:30:13	R_1OVke3hJ5ggMfWD					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	中立	比较同意	比较同意	比较同意	比较反对	比较反对	比较反对	比较同意	反对	反对	反对	有点同意	有点同意	反对	有点反对	有点反对	反对	非常同意	同意	同意	同意	非常同意	同意	有点同意	同意	同意	同意	有点反对	反对	同意	反对	同意	同意	同意	有点反对	有点同意	有点同意	有点同意	有点同意	有点同意	有点反对	同意	有点同意	反对	反对	有点同意	有点同意	有点反对	反对	有点同意	201911080266
